iter	Passed	Remaining
0	65	65067
1	68	34253
2	72	24047
3	76	19082
4	79	15831
5	83	13759
6	86	12239
7	89	11105
8	92	10189
9	95	9457
10	98	8870
11	101	8383
12	104	7964
13	107	7594
14	111	7301
15	114	7034
16	117	6805
17	120	6600
18	125	6464
19	128	6273
20	130	6103
21	134	5958
22	137	5854
23	141	5743
24	144	5620
25	146	5503
26	150	5439
27	155	5393
28	158	5317
29	162	5258
30	166	5205
31	169	5137
32	172	5063
33	175	4996
34	178	4928
35	182	4876
36	185	4819
37	188	4764
38	191	4712
39	194	4663
40	197	4618
41	200	4571
42	203	4529
43	206	4482
44	209	4442
45	212	4402
46	215	4371
47	218	4343
48	221	4307
49	224	4274
50	228	4248
51	231	4227
52	235	4203
53	238	4176
54	241	4147
55	244	4120
56	247	4096
57	250	4073
58	253	4045
59	257	4028
60	260	4006
61	263	3986
62	266	3962
63	269	3942
64	272	3921
65	275	3903
66	279	3887
67	282	3868
68	285	3849
69	288	3832
70	291	3815
71	294	3797
72	297	3781
73	301	3767
74	303	3749
75	306	3732
76	309	3715
77	313	3704
78	316	3689
79	319	3674
80	322	3659
81	326	3651
82	330	3647
83	333	3634
84	336	3617
85	338	3599
86	341	3581
87	344	3573
88	347	3561
89	351	3549
90	354	3538
91	357	3525
92	360	3517
93	363	3505
94	366	3495
95	369	3482
96	372	3472
97	376	3461
98	379	3454
99	382	3442
100	385	3432
101	388	3421
102	391	3412
103	395	3404
104	398	3394
105	401	3383
106	404	3372
107	407	3361
108	410	3353
109	413	3343
110	416	3333
111	419	3323
112	422	3314
113	425	3309
114	428	3300
115	431	3291
116	434	3280
117	437	3269
118	440	3258
119	443	3250
120	446	3241
121	449	3232
122	452	3223
123	455	3215
124	458	3207
125	461	3200
126	464	3195
127	467	3186
128	470	3178
129	473	3170
130	477	3165
131	480	3161
132	483	3152
133	486	3146
134	489	3138
135	493	3132
136	496	3126
137	499	3119
138	502	3114
139	505	3107
140	508	3100
141	512	3096
142	515	3088
143	518	3083
144	521	3076
145	524	3070
146	528	3064
147	531	3057
148	534	3049
149	537	3044
150	540	3039
151	544	3037
152	547	3031
153	550	3025
154	553	3019
155	557	3013
156	560	3010
157	563	3002
158	566	2997
159	570	2994
160	573	2989
161	577	2987
162	580	2981
163	583	2975
164	586	2969
165	589	2961
166	593	2960
167	597	2956
168	599	2950
169	603	2944
170	606	2939
171	610	2938
172	613	2931
173	616	2926
174	619	2922
175	622	2916
176	626	2914
177	629	2908
178	632	2902
179	636	2898
180	639	2892
181	643	2890
182	646	2884
183	648	2878
184	652	2872
185	655	2867
186	659	2866
187	662	2861
188	665	2856
189	668	2851
190	672	2846
191	675	2844
192	679	2839
193	682	2833
194	685	2829
195	688	2824
196	692	2822
197	695	2817
198	698	2812
199	701	2807
200	704	2801
201	708	2800
202	711	2793
203	714	2788
204	717	2782
205	720	2776
206	724	2774
207	727	2769
208	730	2764
209	733	2760
210	736	2755
211	740	2753
212	744	2749
213	747	2744
214	750	2739
215	753	2733
